"Container ID","VM ID","Function ID","Start Time","Finish Time","Finished Request Count"
"91","27","23","73.99","103.17","1"
"92","28","8","75.08","85.91","1"
"93","29","9","76.35","87.02","1"
"94","30","9","76.65","100.17","1"
"95","31","17","80.94","206.06","2"
"96","32","17","80.97","93.71","1"
"97","1","21","81.71","97.17","2"
"98","2","17","82.94","95.68","1"
"99","3","10","84.09","95.54","1"
"100","4","2","85.58","96.39","1"
"101","5","9","91.08","495.91","120"
"102","6","9","91.09","339.47","73"
"103","7","8","92.63","108.14","1"
"104","8","8","93.86","104.66","1"
"105","9","11","94.16","104.99","1"
"106","10","22","94.86","113.71","2"
"107","11","16","95.58","126.49","4"
"108","12","7","97.31","108.31","1"
"109","13","1","98.37","108.78","1"
"110","14","10","100.9","196.97","11"
"111","15","9","102.38","138.98","15"
"112","16","9","103.54","137.87","10"
"113","17","9","108.04","151.23","6"
"114","18","9","108.35","147.33","4"
"115","19","9","108.46","137.29","4"
"116","20","17","110.45","223.94","1"
"117","21","23","110.67","139.85","1"
"118","22","10","111.9","131.55","1"
"119","23","17","112.23","132.2","3"
"120","24","11","112.33","167.06","7"
"121","25","11","117.33","127.69","1"
"122","26","23","117.48","170.95","3"
"123","27","10","117.94","129.16","1"
"124","28","3","117.95","128.68","1"
"125","29","10","118","129.22","1"
"126","30","23","118.2","147.38","1"
"127","31","10","119.02","131.17","1"
"128","32","10","119.09","140.97","1"
"129","1","23","120.53","325.03","18"
"130","2","1","121.14","154.6","4"
"131","3","22","121.18","170.08","6"
"132","4","1","125.33","150.98","4"
"133","5","9","125.79","496.37","89"
"134","6","9","126.07","307.99","49"
"135","7","9","126.16","178.87","12"
"136","8","9","128.58","254.61","26"
"137","9","23","128.59","138.9","1"
"138","10","7","129.09","140.49","1"
"139","11","21","130.4","140.59","1"
"140","12","1","132.62","145.08","3"
"141","13","18","134.56","148.56","1"
"142","14","17","134.79","531.91","17"
"143","15","16","137.45","147.61","1"
"144","16","3","147.9","162.37","2"
"145","17","16","150.21","161.84","1"
"146","18","10","150.42","191.04","5"
"147","19","22","151.2","165.93","2"
"148","20","16","151.98","162.14","1"
"149","21","23","153.19","203.07","8"
"150","22","8","153.26","168.77","1"
"151","23","23","153.64","204.57","5"
"152","24","23","154.49","206.26","1"
"153","25","23","154.59","210.21","6"
"154","26","21","154.69","164.88","1"
"155","27","17","155.42","166.07","1"
"156","28","7","155.5","166.5","1"
"157","29","1","157.68","169.79","1"
"158","30","1","157.8","170.26","1"
"159","31","10","159.83","209.11","4"
"160","32","8","160.26","172.31","1"
"161","1","1","160.28","201.4","5"
"162","2","10","161.41","508.41","59"
"163","3","10","167.02","224.54","9"
"164","4","16","167.11","183.04","2"
"165","5","9","167.39","491.48","78"
"166","6","21","169.17","180.17","1"
"167","7","16","169.2","179.81","1"
"168","8","17","171.73","183.92","3"
"169","9","17","171.86","182.86","1"
"170","10","11","173.24","205.72","5"
"171","11","17","173.47","183.93","1"
"172","12","22","173.5","225.56","10"
"173","13","17","173.59","304.55","3"
"174","14","22","174.27","187.45","1"
"175","15","2","174.38","185.19","1"
"176","16","1","181.36","193.82","1"
"177","17","23","184.46","239.45","6"
"178","18","23","184.55","196.12","1"
"179","19","3","185.85","229.32","6"
"180","20","21","186","197","1"
"181","21","17","186.95","197.6","1"
"182","22","3","187.53","198.05","1"
"183","23","9","189.09","203.21","3"
"184","24","9","189.33","230.05","3"
"185","25","9","189.97","202.62","2"
"186","26","9","190.19","203.22","2"
"187","27","19","190.51","208.47","1"
"188","28","8","190.78","220.29","3"
"189","29","9","192.31","202.99","1"
"190","30","9","194.3","230.4","4"
"191","31","11","196.2","210.04","1"
"192","32","16","196.7","206.92","1"
"193","1","16","197.16","207.32","1"
"194","2","10","200.8","376.61","23"
"195","3","18","206.82","220.82","1"
"196","4","22","207.04","230.38","2"
"197","5","9","207.05","470.44","81"
"198","6","9","207.07","266.27","10"
"199","7","9","207.11","258.62","11"
"200","8","9","207.14","248.97","6"
"201","9","9","207.24","231.92","2"
"202","10","9","207.49","247.63","9"
"203","11","9","207.57","229.61","6"
"204","12","9","207.61","231.13","1"
"205","13","17","208.96","445.12","4"
"206","14","9","209.03","226.2","3"
"207","15","9","209.52","225.58","2"
"208","16","7","210.06","221.06","1"
"209","17","17","210.47","220.73","1"
"210","18","14","210.63","221.11","1"
"211","19","9","211.1","225.65","2"
"212","20","9","211.49","222.54","1"
"213","21","9","211.52","222.29","1"
"214","22","9","211.69","235.21","1"
"215","23","8","211.71","222.71","1"
"216","24","1","212.32","233.96","4"
"217","25","23","212.33","222.99","1"
"218","26","22","212.8","223.26","1"
"219","27","22","214.71","227.89","1"
"220","28","10","215.39","237.76","2"
"221","29","16","218.3","273.67","6"
"222","30","11","218.6","256.71","4"
"223","31","16","219.11","230.11","1"
"224","32","21","222.78","241.6","2"
"225","1","1","225.13","248.1","2"
"226","2","8","229.29","244.8","1"
"227","3","23","229.43","365.54","17"
"228","4","23","229.85","329.53","10"
"229","5","17","230.59","243.33","1"
"230","6","23","230.94","253.67","5"
"231","7","9","238.89","254.91","2"
"232","8","17","245.46","608.75","4"
"233","9","17","246.02","258.44","2"
"234","10","5","246.74","258.34","1"
"235","11","22","250.94","272.39","1"
"236","12","16","251.29","289.69","4"
"237","13","16","252.59","283.77","2"
"238","14","21","253.33","264.33","1"
"239","15","1","255.65","305.14","7"
"240","16","1","264.92","283.6","2"
"241","17","1","265.65","281.65","1"
"242","18","11","266.09","308.94","5"
"243","19","10","268.66","307.59","6"
"244","20","9","268.71","301.71","5"
"245","21","8","268.96","290.01","3"
"246","22","23","269.52","325.22","2"
"247","23","9","269.68","301.99","6"
"248","24","9","269.7","300.09","2"
"249","25","9","269.7","280.7","1"
"250","26","9","269.74","298.46","3"
"251","27","10","269.74","354.09","6"
"252","28","8","270.71","281.54","1"
"253","29","19","279","294.17","1"
"254","30","23","281.1","296.43","2"
"255","31","10","281.48","324.42","5"
"256","32","17","282.01","292.46","1"
"257","1","22","283.31","293.77","1"
"258","2","3","287.16","298.16","1"
"259","3","9","287.59","649.44","122"
"260","4","9","290.07","565.69","98"
"261","5","9","290.2","437.62","30"
"262","6","13","291.01","301.29","1"
"263","7","10","292.28","307.38","2"
"264","8","10","293.38","307.14","2"
"265","9","1","295.2","327.25","4"
"266","10","17","295.39","534.79","2"
"267","11","22","296.43","319.46","2"
"268","12","17","296.48","418.02","2"
"269","13","3","301.2","316.55","1"
"270","14","23","302.28","340.64","3"
"271","15","19","307","347.91","3"
"272","16","17","307.83","320.57","1"
"273","17","16","309.27","330.98","2"
"274","18","9","311.2","327.52","5"
"275","19","10","312.02","323.47","1"
"276","20","9","312.78","327.74","3"
"277","21","16","312.84","330.96","2"
"278","22","9","312.99","325.36","2"
"279","23","10","314.12","350.21","3"
"280","24","11","314.63","325.46","1"
"281","25","9","314.66","326.13","1"
"282","26","10","315.05","327.2","1"
"283","27","19","315.16","333.12","1"
"284","28","9","316.62","327.36","1"
"285","29","13","316.89","328.24","1"
"286","30","17","325.35","483.05","7"
"287","31","18","326.69","345.73","2"
"288","32","17","327.48","460.85","3"
"289","1","3","328.45","350.53","2"
"290","2","22","329.66","367.79","2"
"291","3","21","330.81","342.04","1"
"292","4","8","331.47","342.47","1"
"293","5","23","332.62","475.32","10"
"294","6","13","333.27","344.72","1"
"295","7","1","333.48","374.92","5"
"296","8","22","334.04","344.15","1"
"297","9","1","335.38","366.28","4"
"298","10","11","337.13","356.03","2"
"299","11","17","338.23","348.69","1"
"300","12","9","343.78","434.75","19"
"301","13","9","343.93","389.94","5"
"302","14","9","343.94","356.87","3"
"303","15","9","344.23","355.28","1"
"304","16","9","344.42","355.19","1"
"305","17","9","344.83","355.5","1"
"306","18","9","344.95","355.73","1"
"307","19","9","345.88","356.93","1"
"308","20","7","346.31","356.79","1"
"309","21","9","346.34","369.86","1"
"310","22","9","346.45","357.22","1"
"311","23","23","347.08","429.6","5"
"312","24","23","349.14","359.45","1"
"313","25","17","350.91","367.81","2"
"314","26","23","351.33","380.51","1"
"315","27","16","351.57","376.42","1"
"316","28","22","357.04","389.94","3"
"317","29","8","358.78","385.63","3"
"318","30","10","359.5","374.94","2"
"319","31","10","359.57","371.07","1"
"320","32","10","359.86","371.31","1"
"321","1","11","359.96","370.07","1"
"322","2","16","360.19","385.04","1"
"323","3","19","360.44","375.04","1"
"324","4","10","362.51","433.77","9"
"325","5","2","365.92","408.91","1"
"326","6","3","366.31","377.04","1"
"327","7","23","367.66","530.52","7"
"328","8","23","368.02","378.68","1"
"329","9","11","378.52","389.35","1"
"330","10","21","380.55","390.74","1"
"331","11","17","382.68","605.87","2"
"332","12","18","383.44","393.88","1"
"333","13","1","384.84","433.44","8"
"334","14","13","386.97","408.66","3"
"335","15","1","387.69","398.1","1"
"336","16","1","388.97","399.44","1"
"337","17","10","389.31","430.97","5"
"338","18","10","389.68","414.33","3"
"339","19","10","389.83","401.28","1"
"340","20","17","389.87","513.49","3"
"341","21","16","391.22","405.42","2"
"342","22","11","392.24","403.24","1"
"343","23","9","393.79","429.02","7"
"344","24","9","394.14","408.41","3"
"345","25","9","394.32","406.85","2"
"346","26","9","394.54","405.28","1"
"347","27","9","395.09","405.86","1"
"348","28","9","395.14","405.81","1"
"349","29","9","395.54","406.28","1"
"350","30","10","404.02","416.17","1"
"351","31","23","404.74","415.05","1"
"352","32","10","404.93","416.15","1"
"353","1","23","405.21","700.33","29"
"354","2","10","406.24","528.53","21"
"355","3","23","406.54","417.2","1"
"356","4","16","408.96","439.76","2"
"357","5","17","409","448.01","4"
"358","6","1","414.33","447.9","3"
"359","7","9","415.07","433.18","4"
"360","8","1","415.31","427.84","2"
"361","9","9","415.42","433.6","3"
"362","10","23","421.47","471.17","4"
"363","11","16","423.52","435.8","2"
"364","12","8","428.17","439.08","1"
"365","13","18","430.23","444.23","1"
"366","14","23","434.05","467.51","4"
"367","15","10","437.24","477.16","8"
"368","16","1","437.57","463.9","2"
"369","17","2","440.68","451.68","1"
"370","18","8","442.39","454.55","2"
"371","19","9","444.72","458.55","2"
"372","20","9","444.73","459.36","2"
"373","21","9","444.98","458.87","2"
"374","22","5","445.8","456.78","1"
"375","23","22","445.87","456.33","1"
"376","24","9","445.87","456.55","1"
"377","25","9","447.17","458.17","1"
"378","26","23","448.35","458.66","1"
"379","27","18","449.65","460.65","1"
"380","28","16","450.34","487.61","4"
"381","29","7","452.71","463.71","1"
"382","30","1","454.37","464.84","1"
"383","31","8","461.1","476.61","1"
"384","32","9","461.54","485.48","3"
"385","1","10","461.56","2295.77","202"
"386","2","9","461.65","2269.89","498"
"387","3","9","461.89","624.32","57"
"388","4","9","462.37","565.95","23"
"389","5","10","464.35","486.45","3"
"390","6","10","464.37","488.3","3"
"391","7","21","464.68","478.87","2"
"392","8","19","465.61","480.21","1"
"393","9","10","466.51","488.39","1"
"394","10","10","466.72","478.22","1"
"395","11","1","467.24","544.49","10"
"396","12","1","467.35","477.82","1"
"397","13","16","469.08","502.78","2"
"398","14","11","470.82","481.18","1"
"399","15","22","471.18","482.18","1"
"400","16","22","471.5","481.61","1"
"401","17","11","471.59","485.94","1"
"402","18","9","473.42","489.91","4"
"403","19","9","473.7","485.85","2"
"404","20","23","482.36","519.3","4"
"405","21","22","484.49","505.94","1"
"406","22","23","484.65","518.43","2"
"407","23","23","485.69","538.69","2"
"408","24","1","486.77","502.77","1"
"409","25","23","487.12","506.75","4"
"410","26","23","488.28","505.22","2"
"411","27","1","490.01","500.43","1"
"412","28","13","494.58","506.49","1"
"413","29","17","501.36","511.62","1"
"414","30","9","503.93","530.11","4"
"415","31","9","504.28","529.8","3"
"416","32","9","504.73","515.4","1"
"417","1","9","504.94","2287.9","326"
"418","2","9","504.97","769.57","66"
"419","3","9","505.88","649.7","23"
"420","4","16","506.96","518.59","1"
"421","5","23","509.98","668.36","15"
"422","6","19","511.44","529.4","1"
"423","7","19","511.52","529.48","1"
"424","8","10","512.08","523.53","1"
"425","9","10","512.52","523.74","1"
"426","10","10","513.26","524.76","1"
"427","11","10","513.29","524.74","1"
"428","12","1","514.25","539.97","2"
"429","13","22","519.65","530.11","1"
"430","14","9","520.83","566.11","5"
"431","15","9","521.26","566.22","7"
"432","16","9","521.77","532.51","1"
"433","17","9","521.8","532.57","1"
"434","18","16","523.32","533.48","1"
"435","19","18","525.18","535.36","1"
"436","20","13","525.73","540.13","2"
"437","21","13","526.9","538.35","1"
"438","22","10","533.13","566.73","6"
"439","23","10","533.15","569.95","3"
"440","24","11","533.27","548.24","2"
"441","25","10","533.75","566.68","3"
"442","26","10","534.85","551.49","2"
"443","27","16","538.44","555.24","3"
"444","28","9","539.59","554.61","2"
"445","29","9","539.83","551.3","1"
"446","30","9","539.96","550.7","1"
"447","31","9","541.33","552.8","1"
"448","32","3","542.31","552.83","1"
"449","1","3","542.86","558.21","1"
"450","2","8","543.71","559.22","1"
"451","3","23","544.88","703.43","10"
"452","4","23","544.9","593.53","6"
"453","5","23","544.92","596.69","1"
"454","6","17","545.12","691.25","6"
"455","7","17","545.15","796.2","5"
"456","8","19","546.97","557.02","1"
"457","9","8","547.79","564.14","2"
"458","10","1","548.21","571.22","2"
"459","11","1","549.94","565.94","1"
"460","12","21","551.41","586.02","4"
"461","13","13","554.33","567.95","1"
"462","14","10","556.26","567.71","1"
"463","15","17","557.14","575.4","3"
"464","16","10","557.76","569.5","1"
"465","17","17","557.77","568.77","1"
"466","18","11","557.79","579.03","3"
"467","19","3","561","576.35","1"
"468","20","3","563.7","575.04","1"
"469","21","16","566.39","591.24","1"
"470","22","9","570.61","591.15","5"
"471","23","9","571.4","591.34","5"
"472","24","9","571.5","590.46","3"
"473","25","9","571.55","582.29","1"
"474","26","9","571.56","582.3","1"
"475","27","9","571.87","582.87","1"
"476","28","9","571.92","582.66","1"
"477","29","16","571.93","584.15","2"
"478","30","9","572.2","582.94","1"
"479","31","9","572.26","583.03","1"
"480","32","9","572.69","583.46","1"
"481","1","9","573.11","2268.39","354"
"482","2","9","573.29","759.12","36"
"483","3","9","573.32","624.91","12"
"484","4","13","573.59","584.81","1"
"485","5","9","573.59","591.34","5"
"486","6","9","573.62","590.94","3"
"487","7","17","577.66","851.47","12"
"488","8","17","579.33","589.98","1"
"489","9","19","579.53","594.13","1"
"490","10","11","584.76","595.59","1"
"491","11","11","586.3","596.66","1"
"492","12","22","586.56","597.02","1"
"493","13","1","586.96","628.36","5"
"494","14","22","587.01","598.01","1"
"495","15","10","587.18","628.15","5"
"496","16","10","587.55","628.19","4"
"497","17","8","588.9","599.81","1"
"498","18","3","593.38","611.72","2"
"499","19","9","593.97","624.24","8"
"500","20","9","594.54","651.71","5"
"501","21","9","594.6","606.07","1"
"502","22","3","594.98","610.33","1"
"503","23","9","597.59","609.06","1"
"504","24","11","598.93","609.76","1"
"505","25","1","600.95","616.95","1"
"506","26","23","604.24","682.85","4"
"507","27","23","604.59","665.02","6"
"508","28","16","610.84","635.69","1"
"509","29","10","610.86","652.06","2"
"510","30","23","612.58","667.74","4"
"511","31","23","612.61","632.19","3"
"512","32","10","614.11","633.76","1"
"513","1","9","615.08","2286.4","315"
"514","2","9","615.19","732.52","20"
"515","3","9","615.4","626.17","1"
"516","4","9","615.44","626.11","1"
"517","5","16","616.83","642.35","5"
"518","6","11","619.42","630.25","1"
"519","7","3","621.64","639.89","2"
"520","8","17","626.58","875.74","5"
"521","9","14","627.76","638.36","1"
"522","10","17","628.26","754.83","4"
"523","11","17","629.11","650.06","2"
"524","12","9","631.47","684.66","5"
"525","13","9","631.5","677.28","4"
"526","14","9","631.61","647.19","4"
"527","15","9","631.71","648.39","3"
"528","16","9","632.22","643.97","2"
"529","17","9","632.44","643.18","1"
"530","18","9","632.88","643.74","1"
"531","19","9","633.82","644.59","1"
"532","20","9","633.9","644.76","1"
"533","21","8","636.64","665.32","4"
"534","22","23","638.27","685.18","5"
"535","23","23","638.32","652.16","2"
"536","24","10","638.84","654.99","2"
"537","25","10","639.1","660.98","1"
"538","26","17","639.59","650.59","1"
"539","27","17","641.04","754.53","1"
"540","28","1","643.34","669.99","3"
"541","29","14","644.21","675.81","3"
"542","30","1","645.34","662.57","2"
"543","31","22","655.37","676.82","1"
"544","32","2","655.84","666.4","1"
"545","1","9","655.95","2287.91","242"
"546","2","9","658.8","733.15","14"
"547","3","9","658.83","729.14","12"
"548","4","16","660.48","670.7","1"
"549","5","22","662.27","685.56","3"
"550","6","9","663.17","683.42","3"
"551","7","9","663.19","674.66","1"
"552","8","10","664.28","731.44","7"
"553","9","9","664.69","675.74","1"
"554","10","9","664.96","675.63","1"
"555","11","9","665.21","676.68","1"
"556","12","3","665.26","680.61","1"
"557","13","10","665.59","723.27","8"
"558","14","9","666.48","677.22","1"
"559","15","10","667.06","724.62","8"
"560","16","10","667.51","679.01","1"
"561","17","11","671.68","682.51","1"
"562","18","1","675.2","721.44","7"
"563","19","16","675.73","686.34","1"
"564","20","8","675.9","692.35","2"
"565","21","2","685.42","725.14","1"
"566","22","9","687.54","717.23","7"
"567","23","10","691.52","704.6","2"
"568","24","9","693.32","704.37","1"
"569","25","9","693.51","704.51","1"
"570","26","9","693.58","704.32","1"
"571","27","17","693.6","704.06","1"
"572","28","9","694.27","705.32","1"
"573","29","10","694.52","706.02","1"
"574","30","1","695.26","706.6","1"
"575","31","17","695.78","715.08","2"
"576","32","22","699.67","712.67","2"
"577","1","16","700.56","747.13","4"
"578","2","8","709.33","720.17","1"
"579","3","16","711.51","729.56","2"
"580","4","10","713.89","752.09","2"
"581","5","10","714.15","725.65","1"
"582","6","10","714.64","752.69","4"
"583","7","9","719.8","768.35","7"
"584","8","9","720.01","731.06","1"
"585","9","23","721.57","1063.49","21"
"586","10","23","722.18","1158.23","66"
"587","11","22","726.98","748.43","1"
"588","12","11","727.51","751.22","2"
"589","13","17","731.66","750.56","3"
"590","14","22","733.05","744.05","1"
"591","15","8","734.03","744.94","1"
"592","16","23","735.39","745.68","1"
"593","17","1","735.84","746.31","1"
"594","18","16","736","747.63","1"
"595","19","9","738.57","768.47","4"
"596","20","9","738.58","763.9","2"
"597","21","9","741.74","767.59","2"
"598","22","9","742","768.62","3"
"599","23","9","746.15","757.2","1"
"600","24","23","748.19","761.86","2"
"601","25","8","748.65","759.65","1"
"602","26","1","754.85","767.31","1"
"603","27","10","754.9","787.43","2"
"604","28","1","756.57","766.98","1"
"605","29","11","759.33","773.17","1"
"606","30","10","759.83","790.2","3"
"607","31","22","761.32","784.28","2"
"608","32","11","763.33","774.73","1"
"609","1","17","764.39","774.93","1"
"610","2","13","764.46","775.68","1"
"611","3","10","776.29","788.44","1"
"612","4","1","776.39","803.62","4"
"613","5","10","776.52","788.67","1"
"614","6","10","776.95","788.45","1"
"615","7","11","777.7","798.81","2"
"616","8","10","778.14","789.64","1"
"617","9","9","779.3","844","9"
"618","10","9","779.54","843.93","18"
"619","11","23","782.09","817.97","3"
"620","12","9","783","819.42","5"
"621","13","23","783.44","847.8","3"
"622","14","1","783.62","805.47","2"
"623","15","21","783.74","794.4","1"
"624","16","23","785.36","816.41","9"
"625","17","16","785.65","798.11","2"
"626","18","9","788.01","816.31","2"
"627","19","9","788.95","812.47","1"
"628","20","9","789.34","804.14","2"
"629","21","10","794.56","843.51","7"
"630","22","9","795.14","806.61","1"
"631","23","19","795.45","826.64","3"
"632","24","10","795.46","841.64","4"
"633","25","10","796.75","839.67","7"
"634","26","10","797.01","820.26","3"
"635","27","10","799.57","811.02","1"
"636","28","23","799.67","809.96","1"
"637","29","10","800.46","812.2","1"
"638","30","17","804.57","1034.23","2"
"639","31","16","808.02","851.82","2"
"640","32","19","808.61","827.8","2"
"641","1","11","811.04","822.72","1"
"642","2","16","812.96","824.59","1"
"643","3","22","816.93","850.7","2"
"644","4","17","817.8","1171.41","4"
"645","5","17","818.3","941.78","1"
"646","6","17","819.99","830.64","1"
"647","7","17","820.65","831.3","1"
"648","8","17","821.37","842.31","2"
"649","9","9","822.39","938.34","24"
"650","10","23","822.47","949.92","9"
"651","11","9","822.56","841.88","4"
"652","12","23","822.85","943.24","9"
"653","13","10","823.19","851.11","5"
"654","14","9","823.64","838.1","2"
"655","15","23","823.94","834.19","1"
"656","16","9","824.44","889.2","12"
"657","17","9","824.87","835.87","1"
"658","18","1","824.9","879.91","6"
"659","19","9","826.52","837.29","1"
"660","20","9","826.53","837.2","1"
"661","21","4","836.73","847.71","1"
"662","22","8","837.66","848.57","1"
"663","23","11","838.04","849.44","1"
"664","24","20","838.79","849.79","1"
"665","25","19","841.23","866.61","2"
"666","26","1","842.29","858.29","1"
"667","27","16","842.6","875.22","2"
"668","28","1","842.9","853.32","1"
"669","29","18","854.22","864.66","1"
"670","30","10","854.81","866.67","1"
"671","31","16","855.09","874.25","3"
"672","32","23","855.1","900.58","4"
"673","1","9","856.27","2283.13","187"
"674","2","10","857.27","1021","21"
"675","3","11","858.19","888.7","3"
"676","4","10","858.6","996.33","16"
"677","5","9","858.88","1333.69","112"
"678","6","9","859.02","936.07","19"
"679","7","9","859.39","934.99","15"
"680","8","8","859.53","870.53","1"
"681","9","8","860.13","870.96","1"
"682","10","9","862.89","894.84","4"
"683","11","9","865.3","890.44","2"
"684","12","9","865.4","890.46","2"
"685","13","9","865.47","891.95","3"
"686","14","9","865.82","890.53","2"
"687","15","9","865.94","882.67","4"
"688","16","9","866.24","882.36","4"
"689","17","9","866.35","882.26","3"
"690","18","9","866.58","890.1","1"
"691","19","9","867","877.77","1"
"692","20","9","867.22","878.27","1"
"693","21","9","867.83","878.5","1"
"694","22","9","867.9","891.42","1"
"695","23","10","868.89","912.2","6"
"696","24","10","875.9","893.75","2"
"697","25","23","876.09","930.48","3"
"698","26","10","877.04","888.78","1"
"699","27","23","877.11","928.88","1"
"700","28","16","879.26","890.9","1"
"701","29","17","879.57","1121.27","4"
"702","30","13","881.37","892.82","1"
"703","31","17","881.4","891.86","1"
"704","32","23","885.79","896.08","1"
"705","1","1","888.25","898.89","1"
"706","2","8","888.35","906.77","2"
"707","3","16","893.45","903.67","1"
"708","4","18","893.86","907.86","1"
"709","5","22","894.15","904.26","1"
"710","6","19","898.58","916.54","1"
"711","7","9","901.59","914.93","3"
"712","8","9","901.64","995.31","16"
"713","9","13","905.98","917.33","1"
"714","10","9","906.75","917.75","1"
"715","11","9","906.75","918.22","1"
"716","12","23","906.92","933.63","7"
"717","13","7","908.43","919.43","1"
"718","14","1","909.34","939.8","3"
"719","15","6","914.64","925.64","1"
"720","16","17","915.37","929.96","2"
"721","17","8","915.55","940.34","2"
"722","18","17","916","927","1"
"723","19","8","916.19","927.02","1"
"724","20","23","918.75","929.04","1"
"725","21","22","918.77","929.77","1"
"726","22","9","920.99","935.53","2"
"727","23","9","921.63","932.49","1"
"728","24","9","921.7","985.6","7"
"729","25","9","921.8","932.67","1"
"730","26","9","921.81","932.48","1"
"731","27","9","921.87","932.64","1"
"732","28","10","921.92","955.08","3"
"733","29","10","922.83","944.71","1"
"734","30","10","925.4","936.85","1"
"735","31","10","925.86","938.01","1"
"736","32","10","926.15","937.6","1"
"737","1","3","930.25","942.1","1"
"738","2","16","930.84","955.69","1"
"739","3","11","936.88","956.09","2"
"740","4","11","938.86","948.97","1"
"741","5","22","939.12","949.23","1"
"742","6","9","941.28","1210.74","78"
"743","7","9","941.32","1334.06","107"
"744","8","9","943.73","985.52","8"
"745","9","1","944.9","989.32","6"
"746","10","8","945.37","965.65","2"
"747","11","21","947.76","958.76","1"
"748","12","21","949.75","960.6","1"
"749","13","17","951.14","1207.35","5"
"750","14","19","952.13","967.3","1"
"751","15","23","954.37","1126.56","23"
"752","16","23","955.46","1007.23","1"
"753","17","10","957.12","968.62","1"
"754","18","1","958.82","969.29","1"
"755","19","10","959.43","971.29","1"
"756","20","23","961.03","1032.86","7"
"757","21","9","964.81","1008.5","6"
"758","22","23","966.6","1028.49","5"
"759","23","16","967.07","982.58","2"
"760","24","17","970.25","982.99","1"
"761","25","11","973.02","983.85","1"
"762","26","21","976.25","987.48","1"
"763","27","22","976.51","986.62","1"
"764","28","9","976.87","987.54","1"
"765","29","9","976.89","987.89","1"
"766","30","22","978.13","999.58","1"
"767","31","23","980.61","999.51","3"
"768","32","10","981.47","1003.35","1"
"769","1","10","985.55","1331.96","52"
"770","2","10","985.59","1004.96","2"
"771","3","10","985.86","1004.7","2"
"772","4","17","986.73","1218.23","3"
"773","5","3","986.8","997.32","1"
